"","nivel","transparencia","faltante","turbidez","deficiente","impura"
"1",749,0.031,1,0,FALSE,FALSE
"2",756,0.064,0,1,FALSE,FALSE
"3",759,0.058,0,1,FALSE,FALSE
"4",766,0.035,0,0,FALSE,FALSE
"5",755,0.035,0,0,FALSE,FALSE
"6",743,0.037,7,0,TRUE,FALSE
"7",749,0.055,1,1,FALSE,FALSE
"8",752,0.047,0,0,FALSE,FALSE
"9",749,0.064,1,1,FALSE,FALSE
"10",743,0.014,7,0,TRUE,FALSE
"11",739,0.06,11,1,TRUE,FALSE
"12",746,0.032,4,0,FALSE,FALSE
"13",750,0.006,0,0,FALSE,FALSE
"14",755,0.07,0,8,FALSE,FALSE
"15",733,0.023,17,0,TRUE,FALSE
"16",758,0.007,0,0,FALSE,FALSE
"17",736,0.07,14,8,TRUE,FALSE
"18",747,0.003,3,0,FALSE,FALSE
"19",750,0.02,0,0,FALSE,FALSE
"20",754,0.002,0,0,FALSE,FALSE
"21",744,0.073,6,8,TRUE,FALSE
"22",748,0.042,2,0,FALSE,FALSE
"23",755,0.07,0,8,FALSE,FALSE
"24",761,0.061,0,1,FALSE,FALSE
"25",750,0.01,0,0,FALSE,FALSE
"26",744,0.022,6,0,TRUE,FALSE
"27",747,0.055,3,0,FALSE,FALSE
"28",748,0.015,2,0,FALSE,FALSE
"29",749,0.032,1,0,FALSE,FALSE
"30",747,0.069,3,8,FALSE,FALSE
"31",737,0.009,13,0,TRUE,FALSE
"32",756,0.078,0,27,FALSE,FALSE
"33",754,0.031,0,0,FALSE,FALSE
"34",752,0.001,0,0,FALSE,FALSE
"35",743,0.035,7,0,TRUE,FALSE
"36",746,0.022,4,0,FALSE,FALSE
"37",742,0.052,8,0,TRUE,FALSE
"38",744,0.044,6,0,TRUE,FALSE
"39",746,0.025,4,0,FALSE,FALSE
"40",748,0.037,2,0,FALSE,FALSE
"41",745,0.068,5,8,TRUE,FALSE
"42",749,0.007,1,0,FALSE,FALSE
"43",737,0.023,13,0,TRUE,FALSE
"44",756,0.079,0,27,FALSE,FALSE
"45",742,0.015,8,0,TRUE,FALSE
"46",754,0.029,0,0,FALSE,FALSE
"47",754,0.076,0,27,FALSE,FALSE
"48",752,0.019,0,0,FALSE,FALSE
"49",744,0.053,6,0,TRUE,FALSE
"50",746,0.077,4,27,FALSE,FALSE
"51",749,0.042,1,0,FALSE,FALSE
"52",747,0.001,3,0,FALSE,FALSE
"53",750,0.016,0,0,FALSE,FALSE
"54",740,0.06,10,1,TRUE,FALSE
"55",745,0.076,5,27,FALSE,FALSE
"56",752,0.078,0,27,FALSE,FALSE
"57",738,0.017,12,0,TRUE,FALSE
"58",747,0.033,3,0,FALSE,FALSE
"59",747,0.013,3,0,FALSE,FALSE
"60",749,0.049,1,0,FALSE,FALSE
"61",750,0.066,0,8,FALSE,FALSE
"62",748,0.081,2,27,FALSE,TRUE
"63",760,0.046,0,0,FALSE,FALSE
"64",750,0.071,0,8,FALSE,FALSE
"65",752,0.004,0,0,FALSE,FALSE
"66",752,0.029,0,0,FALSE,FALSE
"67",749,0.063,1,1,FALSE,FALSE
"68",744,0.014,6,0,TRUE,FALSE
"69",751,0.07,0,8,FALSE,FALSE
"70",752,0.047,0,0,FALSE,FALSE
"71",749,0.048,1,0,FALSE,FALSE
"72",749,0.065,1,8,FALSE,FALSE
"73",746,0.064,4,1,FALSE,FALSE
"74",750,0.072,0,8,FALSE,FALSE
"75",757,0.058,0,1,FALSE,FALSE
"76",758,0.023,0,0,FALSE,FALSE
"77",745,0.053,5,0,TRUE,FALSE
"78",744,0.045,6,0,TRUE,FALSE
"79",749,0.064,1,1,FALSE,FALSE
"80",756,0.073,0,8,FALSE,FALSE
"81",748,0.079,2,27,FALSE,FALSE
"82",753,0.065,0,1,FALSE,FALSE
"83",739,0.072,11,8,TRUE,FALSE
"84",760,0.053,0,0,FALSE,FALSE
"85",745,0.083,5,27,TRUE,TRUE
"86",756,0.023,0,0,FALSE,FALSE
"87",738,0.042,12,0,TRUE,FALSE
