"","x"
"1",9013
"2",9922
"3",53
"4",5793
"5",4928
"6",269
"7",938
"8",9585
"9",7425
"10",7438
"11",8034
"12",1325
"13",592
"14",6150
"15",9573
"16",6529
"17",9233
"18",8619
"19",2107
"20",398
"21",2988
"22",7663
"23",157
"24",1639
"25",2403
"26",5689
"27",3861
"28",6902
"29",3897
"30",7097
"31",4711
"32",9261
"33",3693
"34",8654
"35",7930
"36",8597
"37",7589
"38",3716
"39",3101
"40",9530
"41",8014
"42",7376
"43",8361
"44",1674
"45",257
"46",7951
"47",7696
"48",4414
"49",5286
"50",5439
"51",4296
"52",1152
"53",6804
"54",9841
"55",7620
"56",508
"57",5785
"58",5867
"59",2340
"60",4937
"61",4669
"62",8755
"63",4863
"64",8962
"65",1707
"66",5781
"67",6141
"68",7708
"69",9836
"70",6409
"71",5699
"72",6927
"73",7392
"74",50
"75",2456
"76",8608
"77",1511
"78",3780
"79",4018
"80",7090
"81",8231
"82",1816
"83",3987
"84",114
"85",9582
"86",7908
"87",7556
"88",7030
"89",583
"90",8930
"91",3614
"92",2650
"93",5256
"94",4168
"95",1154
"96",7228
"97",4620
"98",7570
"99",813
"100",7289
