Edad,Cursos,Promedio,NroReprobados,Percentil,Distrito,Calificacion,Tiempo_Transporte,Dias_Clase,Horas_Clase,Tiempo_Dormir,Dias_Inutiles,Horas_Estudio,Horas_Extracurricular,Estres,M1,M2,M3,M4,A1,A2,A3,A4,A5,Transporte_Semanal
18,6,17.2,0,Decimo superior,Jesús Maria,6,90,5,26,8,0,5 o mas,1,40,Carro Particular,Combi / micro,NA,NA,Estudiar,Deporte o alguna actividad fisica,Pasar tiempo con familia o amigos,"Netflix, cursos online, leer",NA,450
19,8,17,0,Decimo superior,Miraflores,8,16,5,28,5,0,2,1,35,Combi / micro,Bicicleta / scooter,Voy caminando,NA,Dormir,NA,NA,NA,NA,80
18,8,19.38,0,Decimo superior,San Isidro,7,100,5,32,6,0,3,1,41,Taxi,Combi / micro,NA,NA,Estudiar,Dormir,Deporte o alguna actividad fisica,Aprender algun idioma,NA,500
18,6,17.84,0,Decimo superior,San Isidro,8,60,5,27,8,1,2,1,26,Combi / micro,NA,NA,NA,Estudiar,Dormir,NA,NA,NA,300
18,7,15,0,Quinto superior,San Miguel,7,180,4,26,6,1,3,2,39,Taxi,Metropolitano / Corredor rojo,Combi / micro,NA,Estudiar,Jugar videojuegos,Dormir,Aprender algun idioma,NA,720
18,7,17.25,0,Decimo superior,La Molina,7,130,5,24,7,2,4,1,12,Carro Particular,Taxi,NA,NA,Estudiar,Pasar tiempo con familia o amigos,"Dibujar, leer libros",NA,NA,650
18,6,17.62,0,Decimo superior,Santiago de Surco,7,60,5,12,5,3,3,2,36,Carro Particular,Voy caminando,NA,NA,Estudiar,Dormir,NA,NA,NA,300
18,6,16.7,0,Decimo superior,La Molina,7,170,5,20,5,1,5 o mas,2,24,Carro Particular,Taxi,NA,NA,Estudiar,Dormir,Deporte o alguna actividad fisica,Pasar tiempo con familia o amigos,NA,850
18,7,14.85,0,Tercio superior,Santiago de Surco,3,90,5,30,6,0,4,2,30,Carro Particular,Taxi,Metropolitano / Corredor rojo,Combi / micro,Estudiar,Jugar videojuegos,Dormir,NA,NA,450
17,8,15.2,0,Quinto superior,Santiago de Surco,10,60,4,34,8,0,3,1,72,Carro Particular,NA,NA,NA,Estudiar,Jugar videojuegos,Dormir,NA,NA,240
